,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Ventral tegmental area,,Ventral tegmental area,birnlex_1415,"Unpaired midbrain region situated in the ventromedial portion of the reticular formation. The VTA is medial to the substantia nigra and ventral to the red nucleus, and extends caudally from the posterior hypothalamus in the diencephalon. The VTA contains dopamine neurons that project to various limbic and cortical areas and is a critical component of the brain's reward circuitry.",,"I wanted to know whether VTA plays any role in visual circuitry. Using the NIF search engine, I found that the medial terminal nucleus (MTN) of the accessory optic system that mediates the image stabilization and ocular reflexes projects to a portion of the contralateral VTA that people have termed the visual tegmental relay zone (VTRZ). Furthermore, VTA projects to brain stem targets of the MTN (Giolli et al, J Comp Neurol, 1985).

It initially took a while to get comfortable with NIF interface, but once I got used to it, I discovered that it is a very powerful website that exclusively narrows the search results to neuroscience. I searched for VTA and I clicked on the atlas and literature categories and I got my answer pretty easily. I will continue to use NIF more frequently!","ventromedial mesencephalic tegmentum,ventral tegmental area of Tsai",:Category:Mammal,:Category:Dopaminergic cell group A10,:Category:Midbrain tegmentum,":Category:Addiction,:Category:Motivation,:Category:Cognition,:Category:Attention",":Category:Dopamine,:Category:Reward",:Category:Regional part of brain,Regional part of brain
:Category:Ventral tegmental decussation,,Ventral tegmental decussation,birnlex_1163,,,,,,,":Category:Midbrain tegmentum,:Category:White matter",,,:Category:Decussation,Decussation
:Category:Ventral tegmental nucleus,,Ventral tegmental nucleus,birnlex_1421,,,,,,,:Category:Midbrain tegmentum,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventral trigeminal tract,,Ventral trigeminal tract,birnlex_1001,,,,,,,":Category:Pontine tegmentum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Ventromedial hypothalamic region,,Ventromedial hypothalamic region,nlx_144079,,,,Ventromedial Hypothalamus,,,:Category:Hypothalamus,,,:Category:Regional part of brain,Regional part of brain
:Category:Ventromedial nucleus of hypothalamus,,Ventromedial nucleus of hypothalamus,birnlex_1572,,"A nucleus of the middle hypothalamus, the largest cell group of the tuberal region with small-to-medium size cells. (MSH)",,"Ventromedial hypothalamus,ventromedial nucleus,ventromedial hypothalamic nucleus",,,:Category:Intermediate hypothalamic region,,,:Category:Regional part of brain,Regional part of brain
:Category:Vermal parts of the cerebellum,,Vermal parts of the cerebellum,birnlex_1175,,,,,,,,,,:Category:Regional part of a lobe of the cerebellum,Regional part of a lobe of the cerebellum
:Category:Vermic Lobule I,,Vermic Lobule I,nlx_anat_20081224,,,,Lingula,,,:Category:Anterior lobe of the cerebellum,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule II,,Vermic Lobule II,nlx_anat_20081225,,,,Central Lobule,,,:Category:Anterior lobe of the cerebellum,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule III,,Vermic Lobule III,nlx_anat_20081226,,,,Central Lobule,,,:Category:Anterior lobe of the cerebellum,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule IV,,Vermic Lobule IV,nlx_anat_20081227,,,,Culmen,,,:Category:Anterior lobe of the cerebellum,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule IX,,Vermic Lobule IX,nlx_anat_20081234,,,,Uvula,,,:Category:Flocculonodular lobe,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule V,,Vermic Lobule V,nlx_anat_20081228,,,,Culmen,,,,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule VI,,Vermic Lobule VI,nlx_anat_20081229,,,,Declive,,,:Category:Posterior lobe of the cerebellum,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule VII,,Vermic Lobule VII,nlx_anat_20081230,,,,,,,,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule VIIA,,Vermic Lobule VIIA,nlx_anat_20081231,,,,Folium,,,:Category:Posterior lobe of the cerebellum,,,:Category:Vermic Lobule VII,Vermic Lobule VII
:Category:Vermic Lobule VIIB,,Vermic Lobule VIIB,nlx_anat_20081232,,,,Tuber,,,:Category:Posterior lobe of the cerebellum,,,:Category:Vermic Lobule VII,Vermic Lobule VII
:Category:Vermic Lobule VIII,,Vermic Lobule VIII,nlx_anat_20081233,,,,Pyramis,,,:Category:Posterior lobe of the cerebellum,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermic Lobule X,,Vermic Lobule X,nlx_anat_20081235,,,,Nodulus,,,:Category:Flocculonodular lobe,,,:Category:Regional Parts of the Vermal Lobules,Regional Parts of the Vermal Lobules
:Category:Vermis,,Vermis,birnlex_1106,"A subregion of the cerebellar cortex, consisting of the most medial zone of the cerebellar cortex, stradding the midline.  May be continuous with the lateral cerebellar hemispheres in some areas of the cerebellum, e.g., dorsally, or separated by deeper fissures in others (e.g., ventrally)",,,,,,:Category:Cerebellar cortex,,,:Category:Regional part of brain,Regional part of brain
:Category:Vermis of the anterior lobe of the cerebellum,,Vermis of the anterior lobe of the cerebellum,birnlex_1185,,,,,,,,,,:Category:Vermal parts of the cerebellum,Vermal parts of the cerebellum
:Category:Vermis of the flocculonodular lobe of the cerebellum,,Vermis of the flocculonodular lobe of the cerebellum,nlx_anat_20081241,,,,,,,":Category:Flocculonodular lobe,:Category:Vermis",,,:Category:Regional part of brain,Regional part of brain
:Category:Vermis of the posterior lobe of the cerebellum,,Vermis of the posterior lobe of the cerebellum,nlx_anat_20081240,,,,,,,,,,:Category:Vermal parts of the cerebellum,Vermal parts of the cerebellum
:Category:Vertical limb of the diagonal band,,Vertical limb of the diagonal band,nlx_67,,,,Vertical limb of the diagonal band of Broca,,,:Category:Diagonal band,,,:Category:Regional part of brain,Regional part of brain
:Category:Vestibular ganglion,,Vestibular ganglion,birnlex_2549,,The term vestibular ganglion refers to the ganglion at the base of the vestibule that contains the cell bodies of the primary afferents innervating the vestibular organs. These afferent fibers course centrally in the vestibulocochlear nerve to the vestibular nuclei in the medulla oblongata. The vestibular ganglion is not part of the brain (Carpenter-83).,,Scarpas ganglion,,,,,,:Category:Cranial ganglion part of peripheral nervous system,Cranial ganglion part of peripheral nervous system
:Category:Vestibular nuclear complex,,Vestibular nuclear complex,birnlex_1337,,,,"vestibular nuclei,vestibular nucleus",:Category:Mammal,,:Category:Medulla oblongata,,,:Category:Regional part of brain,Regional part of brain
:Category:Vestibulocerebellar tract,,Vestibulocerebellar tract,birnlex_1009,"White matter tract containing axons arising in the vestibular ganglion primarily projecting to the ipsilateral cerebellum via the inferior cerebellar peduncle (Heimer, L. The Human Brain, 2nd ed., 1995, pg 370).",,,,,,":Category:Pontine tegmentum,:Category:White matter",,,:Category:Nerve tract,Nerve tract
:Category:Vestibulocochlear nerve fiber bundle,,Vestibulocochlear nerve fiber bundle,birnlex_1636,,,,"vestibular root of vestibulocochlear nerve,statoacoustic nerve fibers,vestibulocochlear nerve roots,central part of vestibulocochlear nerve,vestibulocochlear nerve fibers,cochlear-vestibular nerve",,,":Category:White matter,:Category:Medulla oblongata",,,:Category:Regional part of brain,Regional part of brain
:Category:Vestibulospinal tract,,Vestibulospinal tract,birnlex_1643,,,,,,,":Category:White matter,:Category:Medulla oblongata,:Category:Spinal cord",,,:Category:Nerve tract,Nerve tract
:Category:Visual association cortex,,Visual association cortex,nlx_143553,Part of cortex considered to function in higher level visual functions,,,,,,:Category:Visual system,:Category:Visual system function,,:Category:Functional part of brain,Functional part of brain
:Category:Visual cortex,,Visual cortex,UBERON:0000411,A region of cortex that is involved in vision,,Replaced oen identifier with UBERON identifier.  UBERON takes precedence as it is a core community ontology.,Visual area,,,:Category:Visual system,":Category:Sensory cortex,:Category:Electrophysiology concept",":Category:Visual system function,:Category:Visual system",:Category:Functional part of brain,Functional part of brain
:Category:Visual cortex primary,,Visual cortex primary,nlx_143552,"Region of visual cortex that receives visual input from the eyes through the lateral geniculate nuclei (Sadato et al., 1996, PMID: 8606771).",,,"V1,striate cortex,primary visual cortex",:Category:Mammal,":Category:Brodmann area 17,:Category:Striate cortex",":Category:Visual system,:Category:Occipital cortex",:Category:Visual system function,,:Category:Regional part of brain,Regional part of brain
:Category:Visual cortex primary layer 1,,Visual cortex primary layer 1,nlx_152613,Most superficial layer of the primary visual cortex,,,"Primary visual cortex layer 1,primary visual cortex layer I",,,:Category:Visual cortex primary,,,:Category:Neocortex layer 1,Neocortex layer 1
:Category:Visual cortex primary layer 2,,Visual cortex primary layer 2,nlx_152614,,,,,,,:Category:Visual cortex primary,,,:Category:Neocortex layer 2,Neocortex layer 2
:Category:Visual cortex primary layer 3,,Visual cortex primary layer 3,nlx_152617,,,,"primary visual cortex layer 3,primary visual cortex layer III",,,:Category:Visual cortex primary,,,:Category:Neocortex layer 3,Neocortex layer 3
:Category:Visual cortex primary layer 4,,Visual cortex primary layer 4,nlx_152615,,,,,,,:Category:Visual cortex primary,,,:Category:Neocortex layer 4,Neocortex layer 4
:Category:Visual cortex primary layer 5,,Visual cortex primary layer 5,nlx_143939,Layer 5 of the primary visual cortex,,,"Primary visual cortex layer 5,primary visual cortex layer V",,,:Category:Visual cortex primary,,,:Category:Neocortex layer 5,Neocortex layer 5
:Category:Visual cortex primary layer 6,,Visual cortex primary layer 6,nlx_152616,,,,"Primary visual cortex layer 6,primary visual cortex layer VI",,,:Category:Visual cortex primary,,,:Category:Neocortex layer 6,Neocortex layer 6
:Category:Waist area of the parabrachial nucleus,,Waist area of the parabrachial nucleus,nlx_68711,"""The term waist part of the parabrachial nucleus refers to a transition zone between the medial parabrachial nucleus and the lateral parabrachial nucleus where they join in the mouse ( Paxinos-2001 )"" (From Neuronames ID 1892)",,,"waist subnucleus of the parabrachial nucleus,waist part of the parabrachial nucleus",,,:Category:Parabrachial nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Wernicke's area,,Wernicke's area,nlx_144087,Cortical area located in the middle to posterior portion of the superior temporal gyrus of the left hemisphere. Wernicke's area is primary to language comprehension of individual words (http://www.springerreference.com/docs/html/chapterdbid/180711.html).,,,Triangular area of Wernicke,:Category:Human,,:Category:Left temporal lobe,,":Category:Speech,:Category:Language,:Category:Broca's area",:Category:Regional part of brain,Regional part of brain
What projects to the nucleus basalis,,What projects to the nucleus basalis,nlx_152121,,,,,,,,,,":Category:Question,:Category:Basal nucleus",Question
:Category:White laminae of cerebellum,,White laminae of cerebellum,birnlex_1105,The white laminae of cerebellum is subdivision of the cerebellar cortex comprised of myelinated axons lying deep to the granule cell layer of the cerebellar cortex.,,,Laminae albae of cerebellar cortex,,,":Category:Cerebellar cortex,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:White matter,,White matter,nlx_412,"Parts of nervous system characterized by high concentrations of myelinated axons, giving a white glossy appearance in gross preparations.",,,,,,,,,:Category:Regional part of nervous system,Regional part of nervous system
:Category:White matter of the cerebellar cortex,,White matter of the cerebellar cortex,nlx_anat_20081249,White matter that lies deep to the granular cell layer of the cerebellar cortex.  It contains afferents to the cerebellar cortex and axons that run between the cerebellar cortex and the deep cerebellar nuclei.,,"I'm not sure that this is different than ""Cerebellar white matter"";  I think this class should be listed as equivalent at the very least.",,,,":Category:Cerebellum,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Zona incerta,,Zona incerta,UBERON:0001907,"A large, horizontally elongated region of gray matter located in the subthalamus, wedged just below the ventral tier of the thalamus and the subthalamic nucleus.",,,,,,:Category:Subthalamus,,,:Category:Regional part of brain,Regional part of brain
